condition,t_s,p1_I,p1_Q,p2_I,p2_Q,p3_I,p3_Q,wide_I,wide_Q
coherent_long,0.00028,-0.616172796,-0.127261381,-0.997474049,-0.321720887,-0.642020202,-0.0964261583,-0.931136367,-0.225945839
coherent_long,0.00029,-0.561554323,-0.354380374,-0.886775436,-0.482491326,-0.539067565,-0.461195782,-0.542501251,-0.681678524
coherent_long,0.0003,-0.507904482,-0.462735003,-0.673565348,-0.682124847,-0.489473539,-0.50013157,-0.722098265,-0.938248509
coherent_long,0.00031,-0.558643162,-0.470118667,-0.34177345,-0.922554705,-0.2660721,-0.729623899,-0.302792256,-1.01775475
coherent_long,0.00032,-0.0610646857,-0.650980294,-0.186074557,-1.08636379,0.0757651179,-0.69973132,-0.162881224,-1.09705531
coherent_long,0.00033,0.172170223,-0.734827507,0.335794903,-1.01753223,0.265490946,-0.744116879,0.273860815,-0.845813768
coherent_long,0.00034,0.307819875,-0.497483942,0.614141564,-0.771987814,0.337107654,-0.329350992,0.42004149,-0.748209836
coherent_long,0.00035,0.603900575,-0.469066534,0.747949702,-0.645584664,0.375339899,-0.376618612,0.882630931,-0.702702105
coherent_long,0.00036,0.500176814,-0.184369988,1.0255606,-0.302218329,0.546273106,-0.261239958,0.619597438,-0.239995484
coherent_long,0.00037,0.710681324,-0.130332988,0.959217955,-0.118669286,0.73387641,-0.123664789,0.981652428,0.0125141505
coherent_long,0.00038,0.5780148,0.291730612,0.95093482,0.32357728,0.690740507,0.341667027,0.824502375,0.251168335
coherent_long,0.00039,0.450316855,0.473111006,0.669826475,0.655115843,0.842695789,0.36382775,0.548926374,0.625927087
coherent_long,0.0004,0.371002314,0.458494982,0.652907063,0.80978433,0.349545651,0.612285742,0.539398411,0.690167084
coherent_long,0.00041,0.309686653,0.624210061,0.426828124,1.00344014,0.0287588799,0.73751746,0.333231647,0.934220897
coherent_long,0.00042,-0.0196596618,0.563396515,0.0268952373,0.914529735,-0.0290843791,0.603649073,-0.0391713298,1.13886891
coherent_long,0.00043,-0.0816561306,0.618895843,-0.397114889,0.673616219,-0.196284275,0.674110021,-0.306169516,0.911840007
coherent_long,0.00044,-0.279797815,0.584564272,-0.506814753,0.645331781,-0.380544533,0.551036545,-0.537120499,0.720931002
coherent_long,0.00045,-0.428811434,0.476496034,-0.804332408,0.657522761,-0.524635547,0.475670408,-0.683780438,0.428597252
coherent_long,0.00046,-0.54438147,0.112786917,-1.06563083,0.27993553,-0.772357442,0.380688196,-0.814762886,0.133274997
coherent_long,0.00047,-0.548260176,0.0360270421,-1.09858522,0.179518125,-0.699375353,-0.0965586998,-1.07233145,0.0575437861
coherent_long,0.00048,-0.68978077,-0.209977813,-0.848768882,-0.316633749,-0.540218477,-0.00762446307,-0.745650128,-0.122664181
coherent_long,0.00049,-0.709100159,-0.34468584,-0.919072664,-0.513200255,-0.679819804,-0.527576275,-0.817010771,-0.662494888
coherent_long,0.0005,-0.398913445,-0.392103204,-0.607355101,-0.700097631,-0.6051321,-0.501096751,-0.625105513,-0.70795065
coherent_long,0.00051,-0.214569197,-0.508941014,-0.248167544,-1.03140412,-0.291380308,-0.818643941,-0.176663956,-0.880413355
coherent_long,0.00052,-0.0363592255,-0.570920862,-0.104396715,-0.975844357,0.023230968,-0.838737431,0.0275862036,-1.09967404
coherent_long,0.00053,0.141250484,-0.759266412,0.250806577,-0.827775876,0.0423016932,-0.535377291,0.138620302,-0.803435961
coherent_long,0.00054,0.586504316,-0.727643896,0.452857798,-0.932568304,0.378677971,-0.728708043,0.549669743,-0.764129935
coherent_long,0.00055,0.428458883,-0.424653048,0.792643669,-0.552522258,0.262027336,-0.289354578,0.760214952,-0.488420301
coherent_long,0.00056,0.468080215,-0.153066875,0.983839444,-0.325733236,0.429463554,-0.34687776,0.799898336,-0.283589032
coherent_long,0.00057,0.613965561,-0.06825182,0.931962168,-0.134585065,0.650768722,-0.0267661564,0.966885895,0.196771057
coherent_long,0.00058,0.754223834,0.118317916,0.93981408,0.355692165,0.637798593,0.199267722,0.886781253,0.254782399
coherent_long,0.00059,0.565079412,0.321704169,0.786811136,0.482860616,0.724602802,0.444629121,0.694819869,0.399655891
coherent_long,0.0006,0.591823723,0.5798052,0.603280828,0.793571253,0.450937035,0.349768153,0.623632561,0.64991588
coherent_long,0.00061,0.38716541,0.385288948,0.550800983,0.949664614,0.255731411,0.595862361,0.333492618,1.12369431
coherent_long,0.00062,0.0443677089,0.792256816,0.264576514,0.992552119,-0.173619277,0.560228865,-0.0825894578,0.876150435
coherent_long,0.00063,0.0983623356,0.559221237,-0.224025972,1.09540323,-0.165273365,0.693966056,-0.306459888,0.928937549
coherent_long,0.00064,-0.4447178,0.490827123,-0.766397699,0.711499026,-0.350943822,0.491856828,-0.410739854,0.74321969
coherent_long,0.00065,-0.395027354,0.461019504,-0.909622711,0.454026086,-0.44011244,0.453267388,-0.835928179,0.6528403
coherent_long,0.00066,-0.654054934,0.131379079,-0.909486303,0.241103557,-0.756221311,0.279207016,-0.928767533,0.37193401
coherent_long,0.00067,-0.530490393,-0.0355235342,-1.06166147,0.217669768,-0.735420908,0.10796364,-0.996928061,0.241413821
coherent_long,0.00068,-0.650832203,-0.0448586123,-0.984432221,-0.135743486,-0.726368024,-0.257569654,-0.85564667,-0.420155699
coherent_long,0.00069,-0.518978261,-0.31933924,-0.934210061,-0.598666456,-0.592015454,-0.472003159,-0.705981334,-0.36932815
coherent_long,0.0007,-0.420688663,-0.384252583,-0.595406666,-0.853622627,-0.473449416,-0.514635064,-0.694084814,-0.758639423
coherent_long,0.00071,-0.201217876,-0.57091449,-0.384366451,-0.923467816,-0.0808470192,-0.569536241,-0.336682692,-0.9252537
coherent_long,0.00072,-0.11484415,-0.627693107,-0.0927220653,-1.11633543,-0.0475194106,-0.659412563,-0.0617252655,-0.906633561
coherent_long,0.00073,0.201264806,-0.677575844,0.404055599,-1.09454717,0.311390756,-0.630210259,0.31732068,-1.07046697
coherent_long,0.00074,0.375078025,-0.611107315,0.387950576,-0.780816154,0.468502949,-0.474760345,0.433084135,-0.65300569
coherent_long,0.00075,0.48786995,-0.572780585,0.729554648,-0.729135348,0.527031227,-0.264481957,0.815479363,-0.699400581
coherent_long,0.00076,0.691526619,-0.183614349,0.753410638,-0.458137394,0.64964235,-0.371065805,0.728680159,-0.405444511
coherent_long,0.00077,0.678530141,-0.074245837,1.00668727,-0.00736126926,0.729190893,-0.107730608,0.946485312,-0.0705969774
coherent_long,0.00078,0.438743233,0.229694441,1.01930717,0.260654158,0.594624071,0.247017038,1.05190404,0.434355552
coherent_long,0.00079,0.695259976,0.334078158,0.977412621,0.387266872,0.653633242,0.231113072,0.773490848,0.422333358
coherent_long,0.0008,0.403461231,0.50169341,0.50338285,0.827171395,0.488810921,0.323005643,0.423753386,0.686207986
coherent_long,0.00081,0.13242027,0.511859321,0.309916811,0.842099268,0.214282805,0.575006824,0.2159363,0.797102183
coherent_long,0.00082,-0.184086083,0.600382166,0.105715482,0.930855252,0.191065722,0.548482024,0.131638957,0.842167608
coherent_long,0.00083,0.101434215,0.838936766,-0.247223017,0.988016127,-0.230131081,0.538523126,-0.239138529,0.875155348
coherent_long,0.00084,-0.372042509,0.676041865,-0.65961585,0.750634773,-0.462920423,0.450661312,-0.638791752,0.592132526
coherent_long,0.00085,-0.460746284,0.379855649,-0.775337396,0.615072825,-0.538010398,0.289718197,-0.562631654,0.600092496
coherent_long,0.00086,-0.603041254,0.458572422,-1.05990141,0.39777609,-0.587159952,0.225135698,-0.919272804,0.414140994
coherent_long,0.00087,-0.563287792,0.177232086,-0.9235463,0.0197010149,-0.693203693,0.0802070357,-1.04093428,0.0141212787
coherent_long,0.00088,-0.80096604,-0.150372088,-0.969884162,-0.299222943,-0.483811279,-0.256681244,-1.01421268,-0.42241607
coherent_long,0.00089,-0.711733961,-0.401161977,-0.928589588,-0.655143185,-0.718807045,-0.161250633,-0.675416988,-0.546218556
coherent_long,0.0009,-0.524108062,-0.47859129,-0.598082976,-0.737281044,-0.430215302,-0.556696372,-0.502999686,-0.844726828
coherent_long,0.00091,-0.282732444,-0.642756375,-0.388839384,-0.886529071,-0.218360472,-0.689339657,-0.329347025,-0.941270434
coherent_long,0.00092,-0.039115442,-0.709498327,-0.0701473228,-1.00162127,0.115444397,-0.567462244,0.0615120635,-0.853118685
coherent_long,0.00093,0.17628758,-0.675823154,0.324992846,-1.07792963,0.167999384,-0.51177212,0.117697709,-0.928685406
coherent_long,0.00094,0.262469042,-0.669954345,0.483642258,-0.89801717,0.160142603,-0.411359625,0.542752303,-0.669121669
coherent_long,0.00095,0.375185027,-0.428668561,0.809045864,-0.53932453,0.811037284,-0.331843908,0.547186533,-0.427164119
coherent_long,0.00096,0.742694534,-0.363143291,0.889752863,-0.347082562,0.766535599,-0.0492510532,0.827018636,-0.399602484
coherent_long,0.00097,0.746213413,-0.115081785,0.997443635,0.0115412105,0.782815196,0.0473968924,0.900081005,-0.121850442
coherent_long,0.00098,0.801094666,0.37520071,0.979948273,0.103549423,0.713075324,0.191909337,0.812612416,0.233559028
coherent_long,0.00099,0.564902516,0.410177154,0.878703121,0.40199795,0.481790093,0.40255165,0.709217196,0.665527939
coherent_long,0.001,0.490032173,0.650521424,0.669620061,0.859535675,0.457842518,0.388219597,0.603519332,0.733952654
coherent_long,0.00101,0.392892677,0.658468089,0.380114192,0.940173846,0.223061044,0.726730096,0.240381031,0.962906336
coherent_long,0.00102,0.00125447034,0.744596017,0.160767767,0.752805032,-0.0960921697,0.492154886,0.0337949119,0.840472993
coherent_long,0.00103,-0.203287752,0.65415608,-0.221467218,0.954878119,-0.310714442,0.592027397,-0.417979989,0.802187658
coherent_long,0.00104,-0.269077271,0.669625437,-0.426118981,0.720129515,-0.483051467,0.565750247,-0.417135941,0.623582562
coherent_long,0.00105,-0.399205878,0.492260846,-0.887386549,0.779882919,-0.481983555,0.358819938,-0.608223334,0.629362497
coherent_long,0.00106,-0.620307489,0.330526231,-0.783906469,0.39890921,-0.540203,0.290637628,-0.922093361,0.267635958
coherent_long,0.00107,-0.701721828,-0.115095914,-1.1488291,-0.0797770979,-0.64258944,0.0645600418,-1.0618373,0.174545719
coherent_long,0.00108,-0.582361562,-0.29955532,-1.19901156,-0.426144897,-0.665785352,-0.077399699,-0.972327198,-0.249872714
coherent_long,0.00109,-0.537999461,-0.356895738,-0.838329796,-0.425005354,-0.43689335,-0.458036772,-0.784192418,-0.246571147
coherent_long,0.0011,-0.343346407,-0.766288498,-0.692464776,-0.700417313,-0.279297799,-0.52451797,-0.575259281,-0.970001076
coherent_long,0.00111,-0.313015258,-0.63402453,-0.338163437,-0.934344822,-0.155715377,-0.677731921,-0.394444359,-0.864450885
coherent_long,0.00112,-0.0792658099,-0.750291227,0.0784597534,-0.958836862,-0.0244967384,-0.778251694,-0.0554869773,-0.979888493
coherent_long,0.00113,0.216794233,-0.705837276,0.283808778,-0.958966671,0.200514889,-0.366137562,0.0935805688,-0.951061856
coherent_long,0.00114,0.42738107,-0.613319549,0.642299414,-1.00828604,0.396940893,-0.623015717,0.458030488,-0.598317517
coherent_long,0.00115,0.343789257,-0.385920317,0.714805543,-0.506522546,0.581856378,-0.496700148,0.717207609,-0.654112377
coherent_long,0.00116,0.602638106,-0.239483814,0.976356901,-0.421857446,0.861495776,-0.275180512,0.856365332,-0.373989253
coherent_long,0.00117,0.672579622,-0.0426808471,1.14039958,-0.0233450292,0.761787435,0.006743318,0.913023931,-0.050181059
coherent_long,0.00118,0.532693149,0.391057006,1.04733962,0.143175298,0.688172322,0.269233215,0.91732539,0.159691285
coherent_long,0.00119,0.533441688,0.357100193,0.874802519,0.325046333,0.474591783,0.246477219,0.654234498,0.429622883
coherent_long,0.0012,0.338325182,0.554699501,0.711073791,0.678034591,0.505347496,0.476217133,0.579611559,0.688758092
coherent_long,0.00121,0.209411329,0.624108819,0.279273008,1.04126663,0.253252793,0.793401635,0.445406856,0.734531557
coherent_long,0.00122,0.189189332,0.770396666,0.0107279032,1.20807408,-0.0356527191,0.601568632,-0.0630180515,1.00135558
coherent_long,0.00123,-0.333098533,0.554125041,-0.0392955815,0.982868205,-0.200583515,0.653645016,-0.309598452,0.997295782
coherent_long,0.00124,-0.393219479,0.588803113,-0.5396438,0.645912212,-0.375461032,0.490228916,-0.532585866,0.60526852
coherent_long,0.00125,-0.467468036,0.227432451,-0.755029243,0.574988685,-0.507404149,0.350444414,-0.758083237,0.668448257
coherent_long,0.00126,-0.709991822,0.277751111,-0.854348125,0.243472847,-0.552486773,0.0917668082,-0.719182356,0.395076616
coherent_long,0.00127,-0.641226219,-0.132601946,-1.06508855,-0.0655768329,-0.587047231,0.00251700358,-1.02785002,0.115516374
coherent_long,0.00128,-0.705289897,-0.108470437,-0.93239302,-0.348463234,-0.581244625,0.0834384832,-0.685087478,-0.168869245
coherent_long,0.00129,-0.51275299,-0.504374977,-0.887000961,-0.63282252,-0.538045614,-0.399514299,-0.811030338,-0.34881878
coherent_long,0.0013,-0.707675253,-0.380502029,-0.446901861,-0.961401316,-0.26304824,-0.509839045,-0.616404789,-0.798906963
coherent_long,0.00131,-0.384559647,-0.688874213,-0.132833986,-0.891262498,-0.194699158,-0.520334439,-0.293062585,-0.938536824
coherent_long,0.00132,-0.191395279,-0.720351828,-0.0977121189,-0.864713309,0.0801578346,-0.615028223,-0.342186809,-0.815043347
coherent_long,0.00133,0.22485547,-0.646926547,0.235018904,-0.958942047,0.161595073,-0.691901792,0.409982531,-1.081032
coherent_long,0.00134,0.380821535,-0.610733848,0.890297012,-0.785710617,0.331044353,-0.581703267,0.626220356,-0.875787627
coherent_long,0.00135,0.710129129,-0.38515023,0.888169156,-0.620419969,0.488744035,-0.387595064,0.763654308,-0.562406712
coherent_long,0.00136,0.688637664,-0.182650187,1.00774089,-0.278553088,0.70096752,-0.0496214239,0.909821307,-0.139576408
coherent_long,0.00137,0.51056852,-0.221792236,1.12922607,-0.00573535374,0.568763424,0.00544254892,1.16562539,0.0795976167
coherent_long,0.00138,0.69840929,0.0638964776,0.939564863,0.181657733,0.64365381,0.188579726,0.82083962,0.117367695
coherent_long,0.00139,0.22903561,0.36606793,0.742896171,0.612541589,0.539028573,0.494366165,0.860034718,0.576900073
coherent_long,0.0014,0.348825405,0.553050932,0.499136974,0.792844085,0.29327806,0.5904115,0.584360328,0.578568527
coherent_long,0.00141,0.22026874,0.675338398,0.549938609,0.890435068,0.342592215,0.670617046,0.252954797,1.05784551
coherent_long,0.00142,0.00754805578,0.737489624,0.236041084,0.897664866,-0.111286909,0.703096396,0.0493187483,0.774295554
coherent_long,0.00143,-0.235553388,0.543757797,-0.175169652,1.03809854,-0.172472411,0.644261595,-0.176442872,0.945416987
coherent_long,0.00144,-0.361792727,0.58410277,-0.432407242,0.858188578,-0.546419872,0.51161797,-0.496278106,0.84202165
coherent_long,0.00145,-0.405010525,0.399296922,-0.947025705,0.426466544,-0.559579577,0.532592494,-0.680365628,0.809901105
coherent_long,0.00146,-0.590835322,0.309249582,-0.95862728,0.32454434,-0.527095514,0.187813508,-0.946065306,0.354865066
coherent_long,0.00147,-0.698210841,-0.0324537006,-1.02024792,0.0949496977,-0.685871391,0.0616532554,-0.925245744,0.0694925941
coherent_long,0.00148,-0.615059953,-0.171593275,-1.04839222,-0.336591031,-0.724018409,-0.0895999782,-0.883677035,-0.206832963
coherent_long,0.00149,-0.608832848,-0.322602404,-0.771370823,-0.494773338,-0.640824964,-0.442520937,-0.680718707,-0.497078616
coherent_long,0.0015,-0.370375908,-0.5781235,-0.682027718,-0.656153043,-0.351902052,-0.528344142,-0.723688394,-0.692682492
coherent_long,0.00151,-0.14835013,-0.661779516,-0.359460363,-0.883172123,-0.266143749,-0.725703924,-0.456752937,-0.873504867
coherent_long,0.00152,-0.114402274,-0.52740314,-0.0205684084,-1.07554845,-0.160473404,-0.587409244,-0.0113643311,-1.03270626
coherent_long,0.00153,-0.00307097229,-0.652669407,0.190196318,-1.0729772,-0.015730938,-0.650033635,0.308350733,-0.82094328
coherent_long,0.00154,0.274191373,-0.736519628,0.484626496,-0.642581142,0.347324606,-0.381743845,0.196292006,-0.715178964
coherent_long,0.00155,0.671363991,-0.508112317,0.688942318,-0.537560056,0.72588286,-0.447705512,0.591946883,-0.56391503
coherent_long,0.00156,0.812879031,-0.379291922,0.880906829,-0.474536277,0.77626084,-0.180461473,0.769624557,-0.13756963
coherent_long,0.00157,0.605684462,-0.0540694351,0.91624082,0.0959443135,0.868943919,0.125829442,1.01039725,0.0139008836
coherent_long,0.00158,0.673784284,0.0766445266,0.847617816,0.255149831,0.558805051,0.203586928,0.811603902,0.118550033
coherent_long,0.00159,0.54934314,0.375419962,0.74581936,0.442204862,0.641331516,0.181215055,0.802775944,0.356460328
coherent_long,0.0016,0.499769365,0.622428154,0.668265219,0.800474958,0.376450418,0.478350415,0.367140764,0.655468711
coherent_long,0.00161,0.149835661,0.711080869,0.304004382,0.842153164,0.192563262,0.589132438,0.104872869,0.750449648
coherent_long,0.00162,-0.0349316482,0.535316933,0.122977065,0.977910892,0.115456862,0.8037717,0.13853716,1.02254079
coherent_long,0.00163,-0.347766229,0.726342805,-0.101763271,0.913040995,-0.203322152,0.655404723,-0.215386912,1.02425153
coherent_long,0.00164,-0.19388353,0.660324071,-0.817614099,0.971400915,-0.427486741,0.425007141,-0.471084746,0.862284006
coherent_long,0.00165,-0.430780731,0.269812942,-0.714388404,0.544227756,-0.498930807,0.393699359,-0.770000282,0.640162156
coherent_long,0.00166,-0.504102347,0.115650448,-0.653523048,0.408849315,-0.701523817,0.257411182,-0.909588127,0.521907609
coherent_long,0.00167,-0.623887148,0.130959247,-0.938263513,0.0127995639,-0.782240463,0.210868124,-0.986487787,0.0905956378
coherent_long,0.00168,-0.514557053,-0.251860864,-0.855897091,-0.342319351,-0.50704834,-0.122739679,-0.949281808,-0.0850879742
coherent_long,0.00169,-0.498277598,-0.578743198,-0.912256171,-0.66075909,-0.60821986,-0.471277822,-0.707062717,-0.48062012
coherent_long,0.0017,-0.378082107,-0.591592568,-0.449657896,-0.836516757,-0.498667014,-0.712434106,-0.636327419,-0.747540625
coherent_long,0.00171,-0.307615182,-0.473441111,-0.392716767,-0.922107813,-0.0834296992,-0.630572701,-0.368014313,-0.962645665
coherent_long,0.00172,-0.0831845522,-0.590983175,0.0278262128,-0.814195116,-0.119834685,-0.632134805,-0.0991494647,-0.853747962
coherent_long,0.00173,0.197783982,-0.549494054,0.377404699,-0.90115502,0.271449525,-0.601119632,0.28319619,-0.924587624
coherent_long,0.00174,0.440332231,-0.686110124,0.60213174,-0.951991342,0.260693238,-0.424931822,0.46848441,-0.708946647
coherent_long,0.00175,0.613356774,-0.505245663,0.82026081,-0.553577132,0.625639997,-0.440496588,0.752538878,-0.57671299
coherent_long,0.00176,0.603670909,-0.418287247,0.902219621,-0.453247273,0.609444961,-0.300368945,0.865840714,-0.372025943
coherent_long,0.00177,0.588133617,-0.0826373669,0.974740342,0.0471446218,0.56362577,-0.0352562726,0.845688589,0.0353792612
coherent_long,0.00178,0.574141778,0.165506091,0.726311593,0.30737756,0.734606574,0.283698572,0.970442471,0.231680714
coherent_long,0.00179,0.649637715,0.353132467,0.855302346,0.634973948,0.455797848,0.534595772,0.67250084,0.303020439
coherent_long,0.0018,0.323145839,0.550028773,0.679683988,1.01731666,0.418543783,0.451986644,0.501768539,0.619804506
coherent_long,0.00181,0.404706934,0.723030228,0.43096892,0.895337134,0.218653296,0.697082753,0.254916564,1.12086566
coherent_long,0.00182,0.110563284,0.656116934,0.101572139,0.951300642,-0.105443738,0.466267355,0.204516177,1.00243368
coherent_long,0.00183,-0.15287412,0.601499899,-0.172606264,1.11779889,-0.0348776592,0.689146777,-0.149079995,0.853281276
coherent_long,0.00184,-0.284923644,0.230043004,-0.473073475,0.853201924,-0.454563219,0.44749944,-0.410024185,0.755288305
coherent_long,0.00185,-0.304763565,0.479928453,-0.770096414,0.53160638,-0.51736481,0.513194947,-0.816286096,0.527587827
coherent_long,0.00186,-0.626221371,0.150455656,-0.880066123,0.253630241,-0.655093939,0.259915565,-0.869381684,0.366266043
coherent_long,0.00187,-0.628601296,0.00817178957,-0.857466957,-0.0469438917,-0.877655087,0.156710779,-0.895050182,0.212194688
coherent_long,0.00188,-0.515460445,-0.173956483,-0.892934499,-0.214451013,-0.727002776,-0.113535057,-0.856693845,-0.255986897
coherent_long,0.00189,-0.492410015,-0.406978368,-0.791994488,-0.414219261,-0.385402741,-0.240632516,-0.84139169,-0.443808363
coherent_long,0.0019,-0.489197249,-0.535717143,-0.567574242,-0.85261528,-0.476908806,-0.537024638,-0.372916563,-0.564546817
coherent_long,0.00191,-0.307349,-0.656109003,-0.533912447,-0.99441489,-0.255343051,-0.732653177,-0.468997023,-0.877324225
coherent_long,0.00192,0.0508512038,-0.766044689,-0.00475684148,-0.951589559,-0.0803747365,-0.584754755,-0.187303426,-0.870688835
coherent_long,0.00193,0.182879079,-0.759661608,0.138205076,-0.917573275,0.0138945856,-0.702974794,-0.0419236385,-0.992601186
coherent_long,0.00194,0.228517452,-0.219699912,0.680793935,-1.00340842,0.375770479,-0.627551725,0.603937134,-0.743779886
coherent_long,0.00195,0.483519701,-0.483688383,0.944167988,-0.726936997,0.622941048,-0.228253885,0.602272822,-0.512762885
coherent_long,0.00196,0.673143259,-0.208215631,1.03649758,-0.422101885,0.45860087,-0.255880973,0.935099802,-0.235261189
coherent_long,0.00197,0.596242592,-0.105294603,0.865390511,-0.170214778,0.561491504,-0.00110025992,0.979705443,0.0746356911
coherent_long,0.00198,0.782659196,0.164110223,0.992496602,0.386555824,0.456581274,-0.0155961125,1.11733346,0.38678093
coherent_long,0.00199,0.449013479,0.326878501,0.662962031,0.465492281,0.527164967,0.390247146,0.81253737,0.432359093
coherent_long,0.002,0.440001875,0.512674324,0.513736576,0.696918892,0.640951025,0.400406101,0.683651769,0.84478146
coherent_long,0.00201,0.294651274,0.671151732,0.315982126,0.941977355,0.30589492,0.612702814,0.392770293,0.91330148
coherent_long,0.00202,-0.160684735,0.766909174,0.125652897,0.97300862,0.0135611851,0.818242201,0.115792723,0.981892517
coherent_long,0.00203,-0.10114047,0.482424021,-0.196161812,0.879496513,-0.140460854,0.582801187,-0.223320293,0.936801459
coherent_long,0.00204,-0.220385147,0.319332639,-0.631539265,0.829599328,-0.394973507,0.618595752,-0.617079423,0.562167104
coherent_long,0.00205,-0.63038222,0.536364962,-0.697129992,0.617308802,-0.360661667,0.25432188,-0.645953103,0.503066608
coherent_long,0.00206,-0.616175399,0.358004385,-0.811037427,0.120971718,-0.539705323,0.191252948,-0.968593331,0.305829092
coherent_long,0.00207,-0.483981721,-0.131538359,-0.877132439,-0.0378346367,-0.852417399,0.0424856024,-0.898709219,0.0844418724
coherent_long,0.00208,-0.707991546,-0.298784089,-0.932721669,-0.307329617,-0.559753914,-0.264110401,-0.855181396,-0.239264997
coherent_long,0.00209,-0.688725793,-0.274677447,-0.815556039,-0.659751525,-0.564149589,-0.226246229,-0.782857622,-0.419393175
coherent_long,0.0021,-0.429658864,-0.538864287,-0.611522636,-0.634297556,-0.593780824,-0.501555115,-0.588959251,-0.85001107
coherent_long,0.00211,-0.02860635,-0.591181077,-0.463231598,-0.92875699,-0.170958014,-0.552614114,-0.389287171,-0.906577991
coherent_long,0.00212,-0.0684696215,-0.955150359,0.00471144721,-1.21043381,-0.127079858,-0.596849285,0.0515972483,-0.864824467
coherent_long,0.00213,0.305206059,-0.7601418,0.203644971,-0.774628535,0.193121466,-0.666994587,-0.0150709698,-0.868524123
coherent_long,0.00214,0.323464507,-0.413388754,0.608208418,-0.837033316,0.261821472,-0.478857406,0.357456315,-0.783412933
coherent_long,0.00215,0.578015706,-0.517597396,0.883051145,-0.559645902,0.615333559,-0.487037966,0.876840844,-0.601467621
coherent_long,0.00216,0.68248303,-0.36128205,0.910197149,-0.302720289,0.736210274,-0.195826816,0.793499436,-0.505699747
coherent_long,0.00217,0.575654213,0.0553671065,0.910114861,-0.165609887,0.500170952,0.0327332079,0.939894463,-0.000190466423
