cell_index,angular_position_deg,state,amplitude_weight_seed_not_authority,phase_offset_rad_seed_not_authority,phase_offset_deg_seed_not_authority,capacitive_gap_loading_weight_seed_not_authority,active_floor_status,net_drv,net_sense,net_load,note
27,262.7027027027,ACTIVE,0.962569,0.257877629,14.7753,0.041042,PASS,DRV_27,SENSE_27,LOAD_27,Replace with authoritative R10.73 drive_table.json before fabrication release.
28,272.4324324324,ACTIVE,0.951938,0.33112143,18.97186,0.0527,PASS,DRV_28,SENSE_28,LOAD_28,Replace with authoritative R10.73 drive_table.json before fabrication release.
29,282.1621621622,ACTIVE,0.938287,0.425168332,24.360351,0.067668,PASS,DRV_29,SENSE_29,LOAD_29,Replace with authoritative R10.73 drive_table.json before fabrication release.
30,291.8918918919,ACTIVE,0.920759,0.545926944,31.27931,0.086887,PASS,DRV_30,SENSE_30,LOAD_30,Replace with authoritative R10.73 drive_table.json before fabrication release.
31,301.6216216216,ACTIVE,0.898253,0.700984072,40.163429,0.111565,PASS,DRV_31,SENSE_31,LOAD_31,Replace with authoritative R10.73 drive_table.json before fabrication release.
32,311.3513513514,ACTIVE,0.869354,0.900081365,51.570863,0.143252,PASS,DRV_32,SENSE_32,LOAD_32,Replace with authoritative R10.73 drive_table.json before fabrication release.
33,321.0810810811,ACTIVE,0.832247,1.15572735,66.218299,0.18394,PASS,DRV_33,SENSE_33,LOAD_33,Replace with authoritative R10.73 drive_table.json before fabrication release.
34,330.8108108108,ACTIVE,0.784601,1.483983292,85.025979,0.236183,PASS,DRV_34,SENSE_34,LOAD_34,Replace with authoritative R10.73 drive_table.json before fabrication release.
35,340.5405405405,ACTIVE,0.723422,1.905472265,109.175519,0.303265,PASS,DRV_35,SENSE_35,LOAD_35,Replace with authoritative R10.73 drive_table.json before fabrication release.
36,350.2702702703,ACTIVE,0.644867,2.446674819,140.184141,0.3894,PASS,DRV_36,SENSE_36,LOAD_36,Replace with authoritative R10.73 drive_table.json before fabrication release.
