t_s,z_i_v,z_q_v,shunt_v
5.249023e-03,1.267212e-03,-5.549635e-03,3.020734e-01
5.371094e-03,5.755546e-04,5.029517e-04,3.052549e-01
5.493164e-03,-2.870026e-03,4.946128e-03,3.047363e-01
5.615234e-03,2.111596e-03,-9.503220e-04,3.038715e-01
5.737305e-03,-1.859575e-03,5.685427e-03,3.019700e-01
5.859375e-03,2.165213e-03,2.917375e-03,2.993678e-01
5.981445e-03,-3.274149e-03,-3.622790e-03,3.007044e-01
6.103516e-03,-1.072870e-03,6.496133e-03,2.975382e-01
6.225586e-03,-1.587126e-03,5.855963e-04,2.999500e-01
6.347656e-03,2.945147e-03,6.098035e-03,3.006628e-01
6.469727e-03,-4.387705e-03,3.122448e-03,3.037119e-01
6.591797e-03,3.762512e-03,9.268556e-03,3.022117e-01
6.713867e-03,6.707949e-04,6.685272e-03,3.020527e-01
6.835938e-03,2.712342e-04,-7.343433e-04,3.020263e-01
6.958008e-03,2.700901e-03,5.283343e-03,2.985404e-01
7.080078e-03,4.086916e-03,-2.670968e-05,3.023648e-01
7.202148e-03,4.040101e-03,6.506472e-04,3.012424e-01
7.324219e-03,-1.521874e-03,2.942168e-03,3.027641e-01
7.446289e-03,-1.005231e-03,-9.339825e-04,3.005537e-01
7.568359e-03,5.688070e-03,7.129430e-03,3.033940e-01
7.690430e-03,-6.582243e-03,-2.409202e-03,2.987234e-01
7.812500e-03,4.501737e-03,6.815446e-03,2.963182e-01
7.934570e-03,4.691082e-03,1.137394e-02,3.022904e-01
8.056641e-03,3.557104e-03,3.927573e-03,3.007303e-01
8.178711e-03,4.250404e-03,7.823849e-03,3.041683e-01
8.300781e-03,-4.940250e-03,2.958018e-03,3.012810e-01
8.422852e-03,3.282180e-03,-9.790707e-04,2.970442e-01
8.544922e-03,3.066497e-03,4.548850e-03,2.984351e-01
8.666992e-03,1.448455e-03,1.271398e-03,2.972122e-01
8.789062e-03,-4.887399e-03,-1.896378e-03,2.962848e-01
8.911133e-03,4.167554e-03,5.389121e-03,2.992726e-01
9.033203e-03,5.580447e-03,2.833242e-03,3.016106e-01
9.155273e-03,-4.539219e-03,5.855971e-03,3.013642e-01
9.277344e-03,-1.427535e-03,1.690703e-03,3.016585e-01
9.399414e-03,4.723815e-03,1.256909e-02,2.980923e-01
9.521484e-03,-5.778779e-03,-1.412963e-03,2.951226e-01
9.643555e-03,-2.529977e-03,2.326951e-03,2.991384e-01
9.765625e-03,-1.816793e-05,3.968694e-03,2.989830e-01
9.887695e-03,-5.320062e-03,7.291586e-03,3.026001e-01
1.000977e-02,-5.642913e-03,3.331916e-03,2.984542e-01
1.013184e-02,-1.064068e-02,6.466414e-03,3.023887e-01
1.025391e-02,1.731665e-03,7.745163e-03,3.031868e-01
1.037598e-02,-7.226920e-03,8.929797e-03,3.014334e-01
1.049805e-02,-1.075511e-02,5.249692e-03,3.068277e-01
1.062012e-02,-4.143401e-03,-5.577821e-04,2.995460e-01
1.074219e-02,1.103909e-02,5.234659e-03,3.009430e-01
1.086426e-02,7.833153e-03,7.421643e-03,2.942555e-01
1.098633e-02,2.515278e-03,-3.708585e-04,3.034356e-01
1.110840e-02,-1.656311e-03,1.024845e-02,3.032203e-01
1.123047e-02,-4.917511e-03,5.376012e-03,2.989059e-01
1.135254e-02,-3.502937e-03,4.397053e-03,3.010788e-01
1.147461e-02,-1.084276e-02,6.671686e-03,2.987179e-01
1.159668e-02,-3.356196e-04,1.360182e-02,3.004784e-01
1.171875e-02,3.036727e-03,5.867294e-03,3.030265e-01
1.184082e-02,-4.296624e-03,6.788927e-03,3.026279e-01
1.196289e-02,-9.523626e-04,1.062208e-04,3.018500e-01
1.208496e-02,-7.066037e-03,1.440658e-03,3.015572e-01
1.220703e-02,-6.326835e-04,-2.100589e-03,3.013620e-01
1.232910e-02,-8.724216e-03,1.838271e-03,2.958433e-01
1.245117e-02,2.883350e-03,1.455627e-02,3.007555e-01
1.257324e-02,-8.200350e-03,1.890398e-03,2.993273e-01
1.269531e-02,-6.016569e-04,6.119417e-03,2.979558e-01
1.281738e-02,-7.802722e-03,-3.994449e-04,2.977253e-01
1.293945e-02,-1.891086e-03,-1.345451e-03,3.035959e-01
1.306152e-02,2.109660e-03,-2.613220e-03,2.944313e-01
1.318359e-02,-1.534941e-04,3.405893e-03,3.055864e-01
1.330566e-02,2.503228e-03,3.962929e-03,2.959352e-01
1.342773e-02,1.780099e-03,6.408908e-03,2.988294e-01
1.354980e-02,-4.907832e-03,2.247785e-03,3.009395e-01
1.367188e-02,1.216932e-03,-5.680767e-03,2.997522e-01
1.379395e-02,2.472906e-06,6.962556e-03,3.002906e-01
1.391602e-02,-8.123156e-03,2.086266e-03,3.005219e-01
1.403809e-02,1.551400e-03,7.320285e-03,3.023855e-01
1.416016e-02,-1.224427e-03,9.190798e-03,2.984370e-01
1.428223e-02,-1.036754e-04,1.005407e-02,2.978401e-01
1.440430e-02,3.675632e-04,3.693684e-03,3.065678e-01
1.452637e-02,-3.652087e-03,5.071536e-03,3.055206e-01
1.464844e-02,-1.763821e-03,7.599278e-03,2.959324e-01
1.477051e-02,-3.324949e-03,1.083989e-02,3.008332e-01
1.489258e-02,-2.751531e-03,7.343018e-03,2.990646e-01
1.501465e-02,-5.984452e-03,8.006733e-03,3.015384e-01
1.513672e-02,-1.310927e-03,2.451855e-03,2.987891e-01
1.525879e-02,-7.077630e-03,7.274215e-03,3.026094e-01
1.538086e-02,-1.586434e-03,1.174220e-03,2.983179e-01
1.550293e-02,-4.112410e-03,7.976395e-03,3.003385e-01
1.562500e-02,6.314761e-04,9.066525e-03,2.978027e-01
1.574707e-02,-2.469309e-03,7.214360e-03,2.958007e-01
1.586914e-02,-1.548172e-02,2.487408e-03,3.022469e-01
1.599121e-02,-1.275010e-03,1.350358e-02,3.050303e-01
1.611328e-02,-1.816605e-03,3.670269e-03,2.982098e-01
1.623535e-02,-7.244459e-03,4.451430e-03,2.997670e-01
1.635742e-02,3.273247e-03,9.351534e-03,2.987875e-01
1.647949e-02,-1.208543e-03,1.463316e-02,3.037551e-01
1.660156e-02,-1.001222e-03,1.945935e-03,3.042699e-01
1.672363e-02,-6.313109e-03,5.513524e-03,2.971781e-01
1.684570e-02,-2.111037e-03,4.259956e-04,3.012498e-01
1.696777e-02,-3.674630e-03,2.794165e-03,2.969311e-01
1.708984e-02,-4.589190e-03,5.464036e-03,3.023713e-01
1.721191e-02,-6.498703e-03,8.557835e-03,2.992932e-01
1.733398e-02,-2.839680e-03,9.197299e-03,3.007764e-01
1.745605e-02,-1.108067e-02,8.389438e-03,2.979461e-01
1.757812e-02,-3.680914e-03,-2.136110e-04,3.040355e-01
1.770020e-02,-3.276426e-04,1.619498e-04,2.998720e-01
1.782227e-02,-3.480782e-03,-6.730208e-04,2.952575e-01
1.794434e-02,-5.148410e-03,7.266836e-03,3.091639e-01
1.806641e-02,-1.163791e-02,4.801957e-03,3.041001e-01
1.818848e-02,-1.015974e-02,8.719776e-04,2.966462e-01
1.831055e-02,6.783191e-04,3.096410e-03,2.921880e-01
1.843262e-02,-5.208918e-03,6.328713e-03,2.998617e-01
1.855469e-02,2.656878e-03,8.195844e-03,3.019813e-01
1.867676e-02,1.403342e-03,3.734756e-03,3.032067e-01
1.879883e-02,-7.989043e-03,1.265453e-03,3.013091e-01
1.892090e-02,-6.811340e-03,-4.248662e-03,2.996094e-01
1.904297e-02,-4.065963e-03,7.993674e-03,2.957951e-01
1.916504e-02,1.714602e-03,2.236389e-03,2.977702e-01
1.928711e-02,-1.207841e-03,-7.336001e-04,2.952052e-01
1.940918e-02,-3.236943e-03,8.909977e-03,2.944222e-01
1.953125e-02,-5.811828e-03,4.820896e-04,3.017066e-01
1.965332e-02,-1.294393e-02,7.215927e-03,3.028682e-01
1.977539e-02,-9.830329e-03,4.306945e-03,2.988439e-01
1.989746e-02,-1.066391e-02,6.703011e-03,2.998114e-01
2.001953e-02,-6.059135e-03,4.909938e-03,3.014823e-01
2.014160e-02,1.578040e-04,3.212595e-03,2.994006e-01
2.026367e-02,-7.031464e-03,9.883959e-03,2.992247e-01
2.038574e-02,-5.549868e-03,5.357612e-03,3.040356e-01
2.050781e-02,-6.910600e-03,6.963219e-04,3.044213e-01
2.062988e-02,-8.286140e-03,6.648566e-03,3.063576e-01
2.075195e-02,-9.257886e-03,1.498186e-03,3.011157e-01
2.087402e-02,-4.883366e-03,8.033678e-03,2.973653e-01
2.099609e-02,-5.664713e-03,-1.380406e-03,2.955170e-01
2.111816e-02,-1.164976e-02,3.836034e-03,3.006905e-01
2.124023e-02,-1.203663e-02,7.893299e-03,3.054677e-01
2.136230e-02,-2.204526e-03,6.963561e-03,3.003133e-01
2.148438e-02,-1.166726e-02,4.461779e-03,2.988063e-01
2.160645e-02,-8.993208e-03,-1.387405e-03,2.988012e-01
2.172852e-02,-4.537585e-03,2.388312e-03,3.016920e-01
2.185059e-02,-6.707742e-03,3.628697e-03,2.945857e-01
2.197266e-02,-7.506842e-03,8.629216e-03,3.025888e-01
2.209473e-02,-3.269216e-03,5.160291e-03,3.025875e-01
2.221680e-02,-9.101662e-03,2.037044e-03,2.963673e-01
2.233887e-02,-4.661322e-03,1.103309e-02,3.014494e-01
2.246094e-02,-4.958277e-03,-5.603233e-03,2.968351e-01
2.258301e-02,-6.981335e-03,4.691549e-03,2.961087e-01
2.270508e-02,-1.223440e-02,7.607603e-03,3.013128e-01
2.282715e-02,-6.901660e-03,1.808762e-03,2.986011e-01
2.294922e-02,-5.488403e-03,-3.158650e-03,3.045710e-01
2.307129e-02,-1.087742e-02,5.803479e-03,2.999286e-01
2.319336e-02,-5.533394e-03,-1.146562e-03,3.001641e-01
2.331543e-02,-1.252125e-02,7.155838e-03,3.001691e-01
2.343750e-02,-1.475804e-02,5.450900e-03,2.961250e-01
2.355957e-02,-9.254254e-03,4.153792e-03,2.998196e-01
2.368164e-02,-1.216620e-02,4.949137e-03,3.024722e-01
2.380371e-02,-1.645162e-02,5.096614e-03,2.965235e-01
2.392578e-02,-1.989436e-02,-3.555706e-03,3.002290e-01
2.404785e-02,-1.088090e-02,4.330594e-04,3.042261e-01
2.416992e-02,-1.089217e-02,1.886840e-03,3.010135e-01
2.429199e-02,-1.228527e-02,7.021558e-03,3.027693e-01
2.441406e-02,-9.032811e-03,1.674454e-03,2.997433e-01
2.453613e-02,-1.116497e-02,4.176533e-03,3.011447e-01
2.465820e-02,-1.249285e-02,9.849442e-03,3.033910e-01
2.478027e-02,-2.920161e-03,-1.079559e-03,3.017465e-01
2.490234e-02,-1.119275e-02,3.009935e-03,3.010170e-01
2.502441e-02,-1.050692e-02,-6.476915e-04,3.028700e-01
2.514648e-02,-6.815768e-03,1.278571e-02,2.988605e-01
2.526855e-02,-1.178344e-02,4.198151e-03,3.043932e-01
2.539062e-02,-1.236420e-02,1.123421e-02,2.964114e-01
2.551270e-02,-1.070741e-02,7.528311e-03,3.017605e-01
2.563477e-02,-1.402065e-02,3.632559e-03,2.945068e-01
2.575684e-02,-1.123674e-02,-5.881562e-03,2.954209e-01
2.587891e-02,-6.441260e-03,6.234355e-03,3.030343e-01
2.600098e-02,-1.026281e-02,7.155938e-04,2.979994e-01
2.612305e-02,-1.088933e-02,3.574998e-03,2.992171e-01
2.624512e-02,-1.541083e-02,1.035533e-02,3.019013e-01
2.636719e-02,-1.625944e-02,9.327143e-04,3.006236e-01
2.648926e-02,-1.153950e-02,-1.044456e-03,2.971235e-01
2.661133e-02,-1.301719e-02,4.191743e-03,2.994854e-01
2.673340e-02,-1.169919e-02,3.699451e-03,2.956735e-01
2.685547e-02,-1.347179e-02,-1.340966e-03,2.992732e-01
2.697754e-02,-7.359072e-03,-1.114183e-03,2.992945e-01
2.709961e-02,-1.253843e-02,1.135902e-02,2.952916e-01
2.722168e-02,-9.577174e-03,-2.736936e-03,3.084799e-01
2.734375e-02,-2.281404e-02,2.826046e-03,3.030739e-01
2.746582e-02,-1.371377e-02,3.805695e-03,2.978354e-01
2.758789e-02,-9.540266e-03,4.530789e-03,2.947104e-01
2.770996e-02,-8.529787e-03,-4.463478e-03,3.025444e-01
2.783203e-02,-9.429980e-03,-6.098008e-04,2.990654e-01
2.795410e-02,-3.492181e-03,6.219793e-04,3.006212e-01
2.807617e-02,-1.542890e-02,8.079994e-03,2.975442e-01
2.819824e-02,-1.396879e-02,-2.570783e-03,2.983773e-01
2.832031e-02,-1.102343e-02,3.947200e-03,2.969430e-01
2.844238e-02,-1.134606e-02,-4.164636e-04,3.019053e-01
2.856445e-02,-1.434315e-02,1.924376e-03,2.989242e-01
2.868652e-02,-7.603192e-03,4.202140e-03,2.977019e-01
2.880859e-02,-9.697386e-03,1.279373e-03,3.042358e-01
2.893066e-02,-7.613103e-03,3.247638e-03,3.042020e-01
2.905273e-02,-2.127660e-02,1.705376e-03,2.985766e-01
2.917480e-02,-1.458537e-02,5.034843e-03,3.044241e-01
2.929688e-02,-1.124140e-02,-2.351885e-03,3.004532e-01
2.941895e-02,-1.649385e-02,-4.884545e-03,3.001823e-01
2.954102e-02,-9.296704e-03,3.935710e-03,3.060732e-01
2.966309e-02,-1.297389e-02,2.831515e-03,2.948555e-01
2.978516e-02,-1.690315e-02,-6.967680e-03,2.983924e-01
2.990723e-02,-1.300742e-02,-1.271490e-02,2.959046e-01
3.002930e-02,-1.311656e-02,1.959425e-03,3.002330e-01
3.015137e-02,-5.766631e-03,-1.851421e-03,2.967943e-01
3.027344e-02,-1.655887e-02,-4.314417e-03,2.964805e-01
3.039551e-02,-1.535454e-02,-4.190789e-03,2.971770e-01
3.051758e-02,-1.059672e-02,-4.373152e-03,2.943469e-01
3.063965e-02,-9.529746e-03,-5.825500e-03,2.994349e-01
3.076172e-02,-2.371653e-02,-1.899445e-04,3.029176e-01
3.088379e-02,-1.429080e-02,-2.612251e-03,2.999952e-01
3.100586e-02,-1.458458e-02,-1.195993e-03,3.001846e-01
3.112793e-02,-2.159101e-02,-1.588317e-03,2.981199e-01
3.125000e-02,-1.448349e-02,-4.479088e-03,2.999193e-01
3.137207e-02,-1.515132e-02,-5.313354e-03,2.987022e-01
3.149414e-02,-1.647263e-02,-7.976303e-03,3.020294e-01
3.161621e-02,-1.801809e-02,-1.049091e-03,3.063348e-01
3.173828e-02,-9.722099e-03,-9.640229e-03,2.998011e-01
3.186035e-02,-1.416625e-02,-7.622864e-03,2.973348e-01
3.198242e-02,-1.585434e-02,-7.289147e-03,3.025101e-01
3.210449e-02,-1.501999e-02,-5.979355e-03,3.018069e-01
3.222656e-02,-1.691939e-02,-3.980404e-03,3.013256e-01
3.234863e-02,-1.571640e-02,-9.664004e-03,3.024321e-01
3.247070e-02,-2.056446e-02,-4.339543e-03,2.946424e-01
3.259277e-02,-1.404723e-02,-3.230116e-03,2.986433e-01
3.271484e-02,-1.709702e-02,8.853933e-04,3.010668e-01
3.283691e-02,-1.619547e-02,-4.716187e-03,3.004465e-01
3.295898e-02,-1.393815e-02,-3.629794e-03,2.997380e-01
3.308105e-02,-1.494040e-02,-7.345279e-03,3.008600e-01
3.320312e-02,-4.997344e-03,-1.039488e-02,3.012006e-01
3.332520e-02,-1.993226e-02,-1.456909e-03,2.972232e-01
3.344727e-02,-7.912372e-03,-3.949426e-03,3.037325e-01
3.356934e-02,-1.332752e-02,-1.210511e-02,3.012725e-01
3.369141e-02,-1.857243e-02,-9.852572e-03,2.986802e-01
3.381348e-02,-1.230372e-02,-1.341453e-02,3.025892e-01
3.393555e-02,-1.413997e-02,-2.700448e-03,2.982149e-01
3.405762e-02,-1.527038e-02,-3.604416e-03,2.967534e-01
3.417969e-02,-1.294845e-02,-7.820759e-04,3.003402e-01
3.430176e-02,-1.651729e-02,-9.922153e-03,2.990297e-01
3.442383e-02,-1.563150e-02,-7.064924e-03,3.015725e-01
3.454590e-02,-1.216324e-02,-6.734809e-03,2.995987e-01
3.466797e-02,-1.152035e-02,-6.041043e-03,2.975170e-01
3.479004e-02,-1.536936e-02,-3.758582e-03,2.984708e-01
3.491211e-02,-1.379469e-02,-9.169044e-05,3.052522e-01
3.503418e-02,-1.530797e-02,-8.366767e-03,3.009990e-01
3.515625e-02,-1.397407e-02,-5.358138e-03,3.067397e-01
3.527832e-02,-1.386944e-02,-1.259408e-02,3.063227e-01
3.540039e-02,-1.174528e-02,-1.154860e-02,3.002725e-01
3.552246e-02,-1.591313e-02,-4.916223e-03,2.956294e-01
3.564453e-02,-1.893978e-02,-6.474159e-03,3.011379e-01
3.576660e-02,-1.753244e-02,-5.771581e-03,2.961870e-01
3.588867e-02,-1.459226e-02,-2.334602e-03,2.988114e-01
3.601074e-02,-1.247680e-02,-3.632621e-03,3.022491e-01
3.613281e-02,-1.630427e-02,-5.221860e-03,3.028607e-01
3.625488e-02,-2.240156e-02,-9.897458e-03,2.969824e-01
3.637695e-02,-6.102043e-03,-1.114956e-02,2.989418e-01
3.649902e-02,-1.615472e-02,-8.964505e-03,3.042690e-01
3.662109e-02,-1.271359e-02,-3.848408e-03,2.993440e-01
3.674316e-02,-1.573701e-02,-1.125414e-02,2.997865e-01
3.686523e-02,-9.664414e-03,-7.446702e-03,3.037112e-01
3.698730e-02,-1.274558e-02,-8.537498e-03,2.916906e-01
3.710938e-02,-1.801979e-02,-1.129480e-02,3.032774e-01
3.723145e-02,-1.830853e-02,-1.488060e-02,3.004368e-01
3.735352e-02,-1.566831e-02,-4.914918e-03,3.010673e-01
3.747559e-02,-1.004767e-02,-1.599482e-02,2.998841e-01
3.759766e-02,-1.320392e-02,-7.746345e-03,2.988668e-01
3.771973e-02,-9.245541e-03,-4.856384e-03,3.020091e-01
3.784180e-02,-1.495801e-02,-9.095293e-03,3.013563e-01
3.796387e-02,-1.314761e-02,-2.080308e-02,2.981283e-01
3.808594e-02,-1.058252e-02,-1.353061e-02,3.043256e-01
3.820801e-02,-1.363978e-02,-1.342428e-02,2.977433e-01
3.833008e-02,-2.752432e-02,-4.135776e-03,3.041772e-01
3.845215e-02,-1.315219e-02,-1.802269e-02,3.004175e-01
3.857422e-02,-1.688647e-02,-4.354648e-03,3.009766e-01
3.869629e-02,-1.471238e-02,-1.486978e-02,3.018672e-01
3.881836e-02,-1.109211e-02,-1.691629e-02,2.978064e-01
3.894043e-02,-1.151816e-02,-2.171267e-02,2.968128e-01
3.906250e-02,-1.076062e-02,-1.337477e-02,2.999832e-01
3.918457e-02,-2.215816e-02,-1.080462e-02,3.015885e-01
3.930664e-02,-1.375964e-02,-1.575666e-02,2.995365e-01
3.942871e-02,-8.149872e-03,-1.610305e-02,3.056530e-01
3.955078e-02,-8.530212e-03,-1.931376e-02,2.988722e-01
3.967285e-02,-1.045605e-02,-1.310708e-02,3.023467e-01
3.979492e-02,-2.639431e-02,-2.209311e-02,3.019801e-01
3.991699e-02,-1.791012e-02,-1.272951e-02,3.023042e-01
4.003906e-02,-1.505167e-02,-1.721827e-02,2.999613e-01
4.016113e-02,-1.298855e-02,-1.222410e-02,2.973178e-01
4.028320e-02,-1.939342e-02,-1.134774e-02,3.003302e-01
4.040527e-02,-2.014243e-02,-1.349768e-02,3.017595e-01
4.052734e-02,-8.387679e-03,-1.252117e-02,3.005078e-01
4.064941e-02,-1.714288e-02,-1.686742e-02,2.966205e-01
4.077148e-02,-6.446615e-03,-2.231378e-02,3.027640e-01
4.089355e-02,-2.354543e-02,-1.753984e-02,2.977029e-01
4.101562e-02,-1.548704e-02,-1.688539e-02,2.975752e-01
4.113770e-02,-1.298230e-02,-2.221507e-02,2.995630e-01
4.125977e-02,-1.237946e-02,-1.960293e-02,2.954745e-01
4.138184e-02,-1.225806e-02,-1.748792e-02,2.969730e-01
4.150391e-02,-2.137506e-02,-2.090213e-02,3.001981e-01
4.162598e-02,-5.636592e-03,-1.938461e-02,3.075461e-01
4.174805e-02,-5.969697e-03,-1.710607e-02,3.018738e-01
4.187012e-02,-6.418369e-03,-2.562467e-02,2.973079e-01
4.199219e-02,-1.050091e-02,-2.408867e-02,3.036401e-01
4.211426e-02,-9.174250e-03,-1.565574e-02,2.976677e-01
4.223633e-02,-2.394294e-02,-1.886701e-02,3.017718e-01
4.235840e-02,-1.409752e-02,-1.750650e-02,2.980159e-01
4.248047e-02,-1.367982e-02,-2.036501e-02,3.002401e-01
4.260254e-02,-1.345311e-02,-1.404907e-02,3.001191e-01
4.272461e-02,-1.165558e-02,-1.885541e-02,3.010350e-01
4.284668e-02,-1.360691e-02,-1.961346e-02,2.968371e-01
4.296875e-02,-9.093431e-03,-1.924751e-02,2.970843e-01
4.309082e-02,-1.430185e-02,-2.291781e-02,3.020317e-01
4.321289e-02,-1.479474e-02,-3.059493e-02,3.004474e-01
4.333496e-02,-6.409152e-03,-1.203233e-02,2.966578e-01
4.345703e-02,-8.979178e-03,-2.456504e-02,2.956125e-01
4.357910e-02,-1.232464e-02,-1.934585e-02,2.987077e-01
4.370117e-02,-1.035801e-02,-2.210289e-02,2.947292e-01
4.382324e-02,-7.866005e-03,-2.130102e-02,3.024024e-01
4.394531e-02,-3.544797e-03,-2.564743e-02,3.002285e-01
4.406738e-02,-4.461371e-03,-2.689639e-02,3.069348e-01
4.418945e-02,-1.285370e-02,-2.487440e-02,3.007579e-01
4.431152e-02,-8.231967e-03,-2.045334e-02,3.000247e-01
4.443359e-02,-5.738439e-03,-1.912892e-02,3.013453e-01
4.455566e-02,-1.112411e-02,-2.888338e-02,2.994008e-01
4.467773e-02,-6.244203e-03,-1.200348e-02,2.975175e-01
4.479980e-02,-3.236380e-03,-2.261792e-02,2.973908e-01
4.492188e-02,-6.568522e-03,-2.330153e-02,2.972777e-01
4.504395e-02,-7.710448e-03,-2.151983e-02,2.971091e-01
4.516602e-02,-9.535268e-03,-2.907140e-02,2.986393e-01
4.528809e-02,-3.696654e-03,-1.915146e-02,3.047045e-01
4.541016e-02,-6.267218e-03,-2.334288e-02,3.038566e-01
4.553223e-02,-4.097614e-03,-2.412123e-02,3.014867e-01
4.565430e-02,-8.310208e-03,-2.604431e-02,3.020990e-01
4.577637e-02,-9.371512e-03,-2.218017e-02,2.984547e-01
4.589844e-02,-9.885168e-03,-3.198313e-02,3.071007e-01
4.602051e-02,-9.615524e-03,-2.687089e-02,1.206071e-03
4.614258e-02,-3.104358e-03,-3.234914e-02,-4.418190e-03
4.626465e-02,-4.258616e-03,-2.548818e-02,-6.926791e-05
4.638672e-02,-9.440572e-03,-2.515826e-02,-3.316994e-03
4.650879e-02,-9.601337e-03,-2.486696e-02,-3.293751e-03
4.663086e-02,7.637513e-04,-2.790129e-02,1.469187e-03
4.675293e-02,-9.364085e-03,-1.729007e-02,2.320054e-03
4.687500e-02,-1.241178e-02,-3.088233e-02,-4.898513e-05
4.699707e-02,-6.175349e-04,-2.906740e-02,3.184876e-03
4.711914e-02,2.301573e-03,-2.720244e-02,-3.634690e-03
4.724121e-02,1.859228e-03,-2.907762e-02,-2.479863e-03
4.736328e-02,-4.037573e-03,-2.221668e-02,-1.411387e-03
4.748535e-02,-7.463118e-03,-2.885172e-02,6.871359e-04
4.760742e-02,-1.062944e-02,-2.430081e-02,1.544160e-03
4.772949e-02,-4.136932e-04,-2.594448e-02,-5.289259e-04
4.785156e-02,-3.354134e-03,-3.026587e-02,4.675523e-04
4.797363e-02,-3.244421e-03,-3.209112e-02,-5.004018e-03
4.809570e-02,-5.260294e-03,-2.965555e-02,-5.849090e-03
4.821777e-02,-2.941746e-03,-2.740631e-02,8.156574e-03
4.833984e-02,4.619646e-03,-2.319761e-02,1.518400e-03
4.846191e-02,-2.035546e-03,-2.287090e-02,-2.827639e-03
4.858398e-02,-7.453135e-03,-2.399883e-02,-5.373843e-03
4.870605e-02,-7.746785e-03,-3.007886e-02,-3.066835e-04
4.882812e-02,-3.765697e-03,-2.818827e-02,1.576914e-03
4.895020e-02,1.630390e-03,-2.913193e-02,7.935815e-04
4.907227e-02,2.452800e-03,-3.395430e-02,-2.792332e-03
4.919434e-02,3.107808e-03,-2.788568e-02,-1.663224e-03
4.931641e-02,1.336885e-03,-2.456914e-02,-1.576998e-03
4.943848e-02,-3.003331e-03,-2.273690e-02,2.008110e-03
4.956055e-02,3.805771e-03,-2.488233e-02,-2.084460e-03
4.968262e-02,-4.140198e-03,-2.448609e-02,-2.433391e-03
4.980469e-02,-1.063260e-02,-3.410033e-02,1.650154e-03
4.992676e-02,1.403116e-03,-2.158727e-02,-2.464696e-06
5.004883e-02,2.415763e-03,-2.454669e-02,7.987874e-04
5.017090e-02,-1.088653e-02,-2.962004e-02,-3.315728e-03
5.029297e-02,3.353053e-03,-2.489385e-02,-1.177687e-04
5.041504e-02,-2.932438e-03,-2.879476e-02,1.946129e-03
5.053711e-02,1.145579e-02,-2.910870e-02,-1.859196e-03
5.065918e-02,-1.785764e-03,-2.283666e-02,-1.590427e-03
5.078125e-02,3.622030e-03,-2.208906e-02,2.124186e-03
