t_s,mic_v,accel_m_s2,force_n
3.448486e-03,6.260976e-03,1.684451e-02,2.542415e-03
3.479004e-03,6.559665e-04,-1.196004e-02,-1.202633e-03
3.509521e-03,-5.358874e-03,-4.575582e-03,2.001638e-04
3.540039e-03,-2.962889e-03,6.108435e-03,3.578860e-04
3.570557e-03,-9.799734e-03,8.860507e-03,-1.463847e-03
3.601074e-03,-1.117880e-02,9.487962e-04,-7.623892e-05
3.631592e-03,-1.314501e-02,-8.681660e-03,1.852204e-03
3.662109e-03,-1.418829e-03,3.235646e-02,-3.387060e-03
3.692627e-03,-1.338192e-02,-1.985424e-02,9.208175e-04
3.723145e-03,8.052722e-03,-2.059864e-02,-5.939374e-04
3.753662e-03,1.084162e-02,-1.233208e-02,7.874661e-04
3.784180e-03,9.892125e-03,-4.142223e-02,-6.460169e-03
3.814697e-03,-8.683875e-03,-2.696642e-02,-2.585282e-05
3.845215e-03,4.518141e-03,-4.619424e-03,2.858004e-03
3.875732e-03,1.192959e-03,5.873631e-03,2.453246e-03
3.906250e-03,1.341020e-04,-5.517301e-03,-3.456336e-03
3.936768e-03,6.163523e-03,3.522775e-02,1.911913e-03
3.967285e-03,-2.042624e-02,2.031283e-02,-2.139949e-04
3.997803e-03,-6.766121e-03,1.596058e-02,-2.780262e-04
4.028320e-03,-2.246971e-02,-1.298506e-02,2.102869e-03
4.058838e-03,-8.045579e-03,2.593955e-02,6.902241e-05
4.089355e-03,-3.029532e-03,1.530811e-03,6.417189e-04
4.119873e-03,9.738370e-03,-3.549857e-03,-1.972089e-03
4.150391e-03,1.700457e-03,2.426779e-02,1.767674e-03
4.180908e-03,7.842079e-03,-8.694788e-03,2.549513e-03
4.211426e-03,3.100108e-03,-6.969344e-03,5.162193e-04
4.241943e-03,8.189233e-03,-8.434522e-03,2.632323e-03
4.272461e-03,-2.517447e-02,-7.380901e-03,1.081305e-03
4.302979e-03,-1.252194e-02,-2.125925e-02,1.771316e-04
4.333496e-03,-1.456623e-02,8.315000e-03,-3.625432e-03
4.364014e-03,-3.184463e-02,3.123812e-04,1.300859e-03
4.394531e-03,-2.313582e-04,5.688044e-02,7.360238e-04
4.425049e-03,6.791870e-03,1.102536e-02,-7.485300e-04
4.455566e-03,1.323332e-02,-1.645995e-02,4.388685e-04
4.486084e-03,-5.455052e-03,-9.656605e-03,-1.141561e-03
4.516602e-03,2.145791e-02,1.626984e-02,-1.661096e-03
4.547119e-03,-6.035697e-03,7.939961e-03,-2.110139e-03
4.577637e-03,-1.145267e-02,-3.095110e-02,-4.060867e-04
4.608154e-03,5.847119e-03,1.068408e-02,7.606940e-04
4.638672e-03,2.958035e-04,-1.074856e-02,4.061233e-04
4.669189e-03,-5.768878e-03,3.524971e-02,5.662075e-04
4.699707e-03,1.254261e-02,-5.763110e-02,4.581453e-03
4.730225e-03,-1.009483e-02,7.797519e-03,1.803025e-04
4.760742e-03,1.736213e-03,1.185907e-02,-1.583650e-03
4.791260e-03,1.040522e-02,2.420641e-02,-3.935928e-04
4.821777e-03,1.524952e-02,9.196770e-03,-9.570854e-04
4.852295e-03,1.535758e-02,2.979960e-03,5.740912e-04
4.882812e-03,8.010729e-03,1.700316e-02,-1.208064e-03
4.913330e-03,4.428385e-04,1.726750e-02,-1.141501e-03
4.943848e-03,-1.364314e-03,-1.292013e-03,6.086811e-04
4.974365e-03,2.934254e-03,-5.753373e-03,-1.388058e-04
5.004883e-03,1.474207e-01,1.261278e-01,-6.026444e-04
5.035400e-03,7.912221e-01,5.539291e-01,9.899043e-02
5.065918e-03,7.097408e-01,5.088006e-01,3.269031e-01
5.096436e-03,7.578042e-01,5.270461e-01,6.835893e-01
5.126953e-03,3.400769e-01,2.046326e-01,1.144734e+00
5.157471e-03,-5.505466e-01,-3.577953e-01,1.677621e+00
5.187988e-03,-1.377307e+00,-9.588222e-01,2.261957e+00
5.218506e-03,-5.637565e-01,-3.611978e-01,2.862129e+00
5.249023e-03,1.988124e-01,1.265106e-01,3.438691e+00
5.279541e-03,-3.472753e-02,-5.717036e-02,3.957338e+00
5.310059e-03,1.243741e+00,8.680908e-01,4.400867e+00
5.340576e-03,1.246797e+00,8.872926e-01,4.732949e+00
5.371094e-03,-5.215951e-01,-3.887119e-01,4.937071e+00
5.401611e-03,-4.031812e-01,-2.669091e-01,5.004047e+00
5.432129e-03,-6.115103e-01,-4.372348e-01,4.917063e+00
5.462646e-03,-1.207211e+00,-8.328272e-01,4.704598e+00
5.493164e-03,-1.177803e-01,-9.614347e-02,4.357297e+00
5.523682e-03,8.483044e-01,5.828608e-01,3.909020e+00
5.554199e-03,9.104952e-01,6.521270e-01,3.379117e+00
5.584717e-03,5.616074e-01,3.880950e-01,2.803380e+00
5.615234e-03,2.368996e-01,1.980627e-01,2.202116e+00
5.645752e-03,-2.756084e-01,-1.849173e-01,1.618157e+00
5.676270e-03,-1.457847e+00,-1.027758e+00,1.088160e+00
5.706787e-03,-7.704762e-01,-5.189405e-01,6.384260e-01
5.737305e-03,4.369689e-01,2.551324e-01,2.944832e-01
5.767822e-03,8.739225e-03,4.533190e-03,7.428584e-02
5.798340e-03,9.620740e-01,6.835788e-01,-9.311987e-04
5.828857e-03,1.363918e+00,9.393853e-01,-1.144482e-03
5.859375e-03,-3.567313e-01,-2.633603e-01,-1.191146e-03
5.889893e-03,-6.790774e-01,-4.513699e-01,2.864955e-04
5.920410e-03,-5.751994e-01,-4.159673e-01,-5.508519e-04
5.950928e-03,-9.725240e-01,-6.436720e-01,4.624851e-03
5.981445e-03,-2.833453e-01,-1.849281e-01,1.998465e-03
6.011963e-03,7.159532e-01,4.892217e-01,1.817477e-04
6.042480e-03,1.181147e+00,8.282498e-01,-2.576773e-05
6.072998e-03,4.889613e-01,3.572612e-01,4.325601e-03
6.103516e-03,1.759517e-02,1.840181e-02,2.512996e-03
6.134033e-03,-7.078309e-02,-5.115402e-02,1.242753e-04
6.164551e-03,-1.361126e+00,-9.145901e-01,-9.008995e-04
6.195068e-03,-1.020103e+00,-6.950671e-01,1.200984e-03
6.225586e-03,5.282287e-01,3.595140e-01,-2.452750e-03
6.256104e-03,1.890105e-01,1.374044e-01,1.647921e-03
6.286621e-03,7.220223e-01,5.043504e-01,2.062127e-03
6.317139e-03,1.320140e+00,9.483577e-01,-7.710753e-04
6.347656e-03,-8.369589e-02,-5.162846e-02,-4.396386e-04
6.378174e-03,-8.165632e-01,-5.272186e-01,1.864987e-03
6.408691e-03,-7.029706e-01,-5.616591e-01,-6.388703e-04
6.439209e-03,-7.058146e-01,-4.918525e-01,-1.435015e-03
6.469727e-03,-3.245862e-01,-2.294197e-01,-2.904878e-04
6.500244e-03,5.030861e-01,3.542847e-01,-2.166612e-04
6.530762e-03,1.371849e+00,9.468803e-01,-1.720729e-03
6.561279e-03,5.610056e-01,4.018796e-01,-3.696683e-03
6.591797e-03,-2.104344e-01,-1.493379e-01,-4.866139e-04
6.622314e-03,3.532615e-02,4.236339e-02,2.475637e-04
6.652832e-03,-1.154463e+00,-8.260683e-01,-3.554060e-03
6.683350e-03,-1.229227e+00,-8.719649e-01,1.887066e-03
6.713867e-03,4.902705e-01,3.274955e-01,1.348559e-04
6.744385e-03,4.488736e-01,3.219398e-01,-2.026665e-04
6.774902e-03,5.934759e-01,4.070110e-01,1.359152e-03
6.805420e-03,1.155444e+00,7.797452e-01,2.241316e-03
6.835938e-03,1.530019e-01,7.882163e-02,2.146775e-03
6.866455e-03,-8.310919e-01,-5.257779e-01,1.954790e-03
6.896973e-03,-9.513530e-01,-6.857311e-01,2.194645e-03
6.927490e-03,-5.052987e-01,-3.847120e-01,7.302873e-04
6.958008e-03,-2.079791e-01,-1.390722e-01,-1.983423e-03
6.988525e-03,2.277068e-01,1.565929e-01,-2.477500e-04
7.019043e-03,1.412051e+00,1.009120e+00,-2.175096e-03
7.049561e-03,7.702881e-01,5.268925e-01,-3.418573e-04
7.080078e-03,-4.443315e-01,-2.749950e-01,7.057993e-04
7.110596e-03,-4.963435e-02,-4.574490e-02,3.048276e-04
7.141113e-03,-8.840332e-01,-5.858446e-01,-5.299257e-05
7.171631e-03,-1.317592e+00,-9.121555e-01,7.890091e-04
7.202148e-03,2.960105e-01,2.305004e-01,-8.373554e-04
7.232666e-03,6.835146e-01,4.577840e-01,-2.201448e-03
7.263184e-03,6.000187e-01,3.557216e-01,2.059053e-03
7.293701e-03,9.017408e-01,6.392085e-01,-6.332589e-05
7.324219e-03,3.200361e-01,2.373065e-01,3.372795e-03
7.354736e-03,-6.870809e-01,-4.457749e-01,-3.162242e-03
7.385254e-03,-1.187615e+00,-8.176306e-01,-1.045033e-04
7.415771e-03,-4.633920e-01,-3.585097e-01,-6.242248e-04
7.446289e-03,-1.313969e-02,3.023838e-02,-1.960264e-03
7.476807e-03,4.935474e-02,4.194802e-02,6.295037e-04
7.507324e-03,1.313943e+00,9.292654e-01,-3.845667e-03
7.537842e-03,1.010767e+00,7.113024e-01,4.165814e-03
7.568359e-03,-5.109648e-01,-3.158265e-01,1.963390e-03
7.598877e-03,-2.282370e-01,-1.535764e-01,1.442087e-03
7.629395e-03,-6.802375e-01,-4.565548e-01,-1.937309e-03
7.659912e-03,-1.268911e+00,-8.377772e-01,4.940169e-03
7.690430e-03,6.746454e-02,1.351219e-02,1.193950e-04
7.720947e-03,8.179913e-01,5.701871e-01,-2.156436e-03
7.751465e-03,7.487562e-01,5.171335e-01,2.275944e-03
7.781982e-03,6.789561e-01,4.673202e-01,3.843028e-03
7.812500e-03,3.178264e-01,2.655798e-01,-4.543393e-04
7.843018e-03,-4.507450e-01,-3.045671e-01,-1.475272e-03
7.873535e-03,-1.339322e+00,-9.889930e-01,-9.038462e-04
7.904053e-03,-5.847678e-01,-3.953392e-01,4.080031e-04
7.934570e-03,2.528676e-01,1.652298e-01,-1.301057e-03
7.965088e-03,-2.182751e-03,1.893058e-02,5.972827e-04
7.995605e-03,1.101726e+00,7.698598e-01,3.189183e-04
8.026123e-03,1.198813e+00,8.585584e-01,-3.237815e-03
8.056641e-03,-4.424418e-01,-2.757410e-01,-8.151199e-05
8.087158e-03,-4.688936e-01,-3.308823e-01,2.005100e-04
8.117676e-03,-5.630570e-01,-4.135480e-01,-2.703412e-04
8.148193e-03,-1.077776e+00,-7.494377e-01,-2.556998e-03
8.178711e-03,-1.508022e-01,-1.036551e-01,-1.398108e-03
8.209229e-03,7.855246e-01,5.657710e-01,2.549746e-03
8.239746e-03,9.495818e-01,6.896343e-01,-1.887329e-03
8.270264e-03,4.893276e-01,3.545297e-01,-2.935556e-03
8.300781e-03,1.921843e-01,1.196354e-01,-2.064651e-03
8.331299e-03,-2.079509e-01,-1.468462e-01,1.538920e-03
8.361816e-03,-1.369116e+00,-9.648682e-01,4.502954e-03
8.392334e-03,-8.088739e-01,-5.703245e-01,3.690940e-03
8.422852e-03,4.195215e-01,2.785459e-01,2.136812e-03
8.453369e-03,8.066645e-02,1.010519e-01,-2.525451e-03
8.483887e-03,8.442869e-01,6.031794e-01,5.194035e-05
8.514404e-03,1.286775e+00,8.939009e-01,1.331194e-03
8.544922e-03,-2.405906e-01,-1.559976e-01,6.758250e-04
8.575439e-03,-6.891782e-01,-5.097496e-01,-1.269697e-03
8.605957e-03,-6.022562e-01,-4.162248e-01,6.956010e-04
8.636475e-03,-8.381255e-01,-5.786687e-01,5.008624e-04
8.666992e-03,-3.023047e-01,-2.344117e-01,8.508094e-04
8.697510e-03,6.309687e-01,5.132583e-01,1.233874e-03
8.728027e-03,1.193644e+00,8.099840e-01,5.749345e-04
8.758545e-03,4.738734e-01,3.141330e-01,-9.541822e-04
8.789062e-03,-1.284079e-02,-3.201428e-04,2.289788e-03
8.819580e-03,-4.806339e-02,-2.573797e-02,1.798552e-03
8.850098e-03,-1.241393e+00,-8.833550e-01,-1.771829e-03
8.880615e-03,-1.026496e+00,-7.385290e-01,2.030299e-03
8.911133e-03,4.816968e-01,3.203925e-01,-3.344215e-03
8.941650e-03,2.865413e-01,2.263533e-01,2.840535e-03
8.972168e-03,6.460563e-01,4.520224e-01,1.121263e-04
9.002686e-03,1.192997e+00,8.593137e-01,-2.694196e-04
9.033203e-03,6.699206e-04,-4.358571e-02,1.967262e-03
9.063721e-03,-7.954881e-01,-5.511926e-01,1.310864e-03
9.094238e-03,-7.615766e-01,-5.418118e-01,4.004833e-03
9.124756e-03,-5.996335e-01,-4.568842e-01,1.163299e-03
9.155273e-03,-2.985275e-01,-2.176876e-01,2.696111e-03
9.185791e-03,4.163288e-01,2.806661e-01,-8.542478e-04
9.216309e-03,1.323451e+00,9.687161e-01,-2.884598e-04
9.246826e-03,5.876529e-01,4.209478e-01,2.531928e-03
9.277344e-03,-2.586413e-01,-1.853834e-01,2.109376e-04
9.307861e-03,-1.238860e-02,-1.335460e-02,-5.540104e-04
9.338379e-03,-1.037971e+00,-7.156075e-01,1.293695e-03
9.368896e-03,-1.194921e+00,-8.484130e-01,-1.726536e-03
9.399414e-03,3.791746e-01,2.715715e-01,4.196963e-03
9.429932e-03,5.200074e-01,3.968762e-01,-1.275755e-03
9.460449e-03,5.304385e-01,4.231684e-01,-3.463706e-04
9.490967e-03,1.010039e+00,7.383108e-01,-2.649724e-04
9.521484e-03,2.129468e-01,1.536690e-01,-3.359851e-03
9.552002e-03,-7.574219e-01,-5.512899e-01,-3.217950e-03
9.582520e-03,-9.535142e-01,-6.840798e-01,7.854441e-04
9.613037e-03,-4.565483e-01,-3.404595e-01,-5.088323e-04
9.643555e-03,-1.673868e-01,-1.284694e-01,-2.358540e-03
9.674072e-03,1.674441e-01,1.087932e-01,-4.581603e-03
9.704590e-03,1.311685e+00,9.031958e-01,1.625379e-03
9.735107e-03,8.070206e-01,5.605081e-01,2.516350e-03
9.765625e-03,-4.161269e-01,-3.215615e-01,-1.308584e-03
9.796143e-03,-1.178525e-01,-8.302003e-02,-1.138399e-03
9.826660e-03,-8.050278e-01,-5.196280e-01,1.160251e-03
9.857178e-03,-1.231480e+00,-8.836341e-01,-1.359260e-03
9.887695e-03,1.989005e-01,1.647852e-01,-2.237988e-03
9.918213e-03,6.961987e-01,5.098720e-01,2.802397e-03
9.948730e-03,6.177442e-01,4.062400e-01,-4.963203e-04
9.979248e-03,7.794956e-01,5.580640e-01,-4.045191e-03
1.000977e-02,3.000326e-01,2.454669e-01,1.348745e-03
1.004028e-02,-5.908221e-01,-4.049262e-01,-4.526378e-04
1.007080e-02,-1.174455e+00,-8.351456e-01,3.482127e-04
1.010132e-02,-4.799819e-01,-3.514569e-01,1.680635e-03
1.013184e-02,6.381893e-02,5.378433e-02,5.074400e-04
1.016235e-02,3.610985e-02,1.863473e-02,2.912746e-04
1.019287e-02,1.196425e+00,8.276649e-01,4.731238e-04
1.022339e-02,1.032944e+00,7.298699e-01,-1.919372e-03
1.025391e-02,-4.496053e-01,-2.842075e-01,-9.685384e-04
1.028442e-02,-3.326059e-01,-2.062580e-01,-3.652124e-03
1.031494e-02,-6.134175e-01,-4.193644e-01,8.979188e-04
1.034546e-02,-1.131793e+00,-7.905967e-01,1.562811e-04
1.037598e-02,-3.378599e-02,-1.453917e-02,7.879532e-04
1.040649e-02,7.858236e-01,5.195703e-01,-2.926923e-04
1.043701e-02,7.554530e-01,5.412219e-01,-4.692451e-04
1.046753e-02,5.731285e-01,3.967658e-01,-1.009286e-03
1.049805e-02,2.699012e-01,2.121733e-01,-4.003986e-03
1.052856e-02,-3.653241e-01,-2.359843e-01,-3.327405e-03
1.055908e-02,-1.308435e+00,-9.352248e-01,1.666564e-03
1.058960e-02,-6.267999e-01,-4.332821e-01,-5.119587e-05
1.062012e-02,2.893559e-01,1.722120e-01,2.203542e-03
1.065063e-02,2.146275e-02,-4.924948e-03,-2.653273e-03
1.068115e-02,9.662905e-01,7.051252e-01,1.270177e-03
1.071167e-02,1.169647e+00,8.243958e-01,-2.640160e-03
1.074219e-02,-3.472148e-01,-2.149197e-01,-8.777399e-04
1.077271e-02,-5.343563e-01,-3.859413e-01,-1.502085e-03
1.080322e-02,-5.509845e-01,-3.442492e-01,4.410579e-03
1.083374e-02,-9.455785e-01,-6.716756e-01,5.102051e-05
1.086426e-02,-2.249939e-01,-1.917675e-01,2.159704e-03
1.089478e-02,7.140001e-01,5.129569e-01,-2.695350e-05
1.092529e-02,9.885746e-01,6.871481e-01,6.229266e-04
1.095581e-02,4.583025e-01,2.963306e-01,5.123668e-03
1.098633e-02,1.449270e-01,1.005964e-01,3.481209e-03
1.101685e-02,-1.649652e-01,-1.321666e-01,-1.350446e-03
1.104736e-02,-1.263503e+00,-9.216455e-01,2.351297e-03
1.107788e-02,-8.107936e-01,-5.446933e-01,-9.458928e-06
1.110840e-02,3.986775e-01,2.824452e-01,5.969389e-04
1.113892e-02,1.472207e-01,9.005222e-02,-3.159449e-03
1.116943e-02,7.588479e-01,5.344096e-01,7.604882e-04
1.119995e-02,1.204346e+00,8.444028e-01,7.734287e-04
1.123047e-02,-1.512346e-01,-8.269971e-02,3.022641e-03
1.126099e-02,-7.165569e-01,-5.022652e-01,1.043521e-03
1.129150e-02,-5.975444e-01,-4.098839e-01,-1.774921e-03
1.132202e-02,-7.086744e-01,-5.235709e-01,1.565693e-03
1.135254e-02,-3.163436e-01,-2.506146e-01,-3.125790e-04
1.138306e-02,5.512637e-01,3.827186e-01,-2.467543e-03
1.141357e-02,1.170392e+00,8.651681e-01,1.185399e-03
1.144409e-02,4.857739e-01,3.508564e-01,4.342559e-04
1.147461e-02,-8.159800e-02,-2.941077e-02,4.767815e-03
1.150513e-02,-5.288167e-02,2.741051e-03,-7.338918e-04
1.153564e-02,-1.144306e+00,-8.189399e-01,6.873069e-04
1.156616e-02,-1.013945e+00,-7.031891e-01,8.349350e-04
1.159668e-02,4.127545e-01,2.956338e-01,-1.476987e-03
1.162720e-02,3.632741e-01,2.527672e-01,1.617527e-03
1.165771e-02,5.819532e-01,4.325344e-01,2.509927e-03
1.168823e-02,1.105476e+00,7.818033e-01,1.632680e-03
1.171875e-02,8.235316e-02,4.595356e-02,2.793038e-03
1.174927e-02,-7.788779e-01,-5.471327e-01,1.290370e-03
1.177979e-02,-8.169567e-01,-5.484105e-01,4.333465e-04
1.181030e-02,-5.300097e-01,-3.599645e-01,-3.684541e-03
1.184082e-02,-2.793567e-01,-1.589304e-01,1.342080e-04
1.187134e-02,3.327450e-01,2.370828e-01,2.046064e-03
1.190186e-02,1.275625e+00,8.857450e-01,2.789996e-03
1.193237e-02,6.439853e-01,4.157124e-01,2.560353e-03
1.196289e-02,-2.827675e-01,-1.718963e-01,8.387649e-04
1.199341e-02,-4.836444e-02,-3.981214e-02,1.980847e-03
1.202393e-02,-8.917505e-01,-6.662272e-01,-4.112348e-03
1.205444e-02,-1.170134e+00,-8.237033e-01,3.422872e-03
1.208496e-02,2.977377e-01,2.514425e-01,1.247683e-03
1.211548e-02,5.694761e-01,4.223159e-01,6.451045e-04
1.214600e-02,5.247805e-01,3.744495e-01,2.709457e-03
1.217651e-02,8.976977e-01,6.520121e-01,3.074716e-03
1.220703e-02,2.540924e-01,1.713918e-01,-2.848955e-03
1.223755e-02,-6.904948e-01,-5.063136e-01,-1.231369e-03
1.226807e-02,-1.005538e+00,-7.135019e-01,-5.624649e-03
1.229858e-02,-4.577490e-01,-2.974031e-01,2.490943e-03
1.232910e-02,-1.035553e-01,-7.289834e-02,-8.102493e-06
1.235962e-02,1.486979e-01,8.766454e-02,-5.525538e-04
1.239014e-02,1.243947e+00,8.378610e-01,2.904831e-03
1.242065e-02,8.339195e-01,5.839737e-01,-5.870121e-04
1.245117e-02,-3.954220e-01,-2.789329e-01,1.166485e-03
1.248169e-02,-1.992866e-01,-1.188224e-01,-6.559389e-03
1.251221e-02,-7.082914e-01,-4.905562e-01,1.625741e-03
1.254272e-02,-1.150310e+00,-8.249277e-01,-7.873225e-04
1.257324e-02,8.477993e-02,5.352882e-02,9.398850e-04
1.260376e-02,7.350602e-01,5.245064e-01,-3.937375e-03
1.263428e-02,6.160565e-01,4.579972e-01,1.896066e-03
1.266479e-02,6.774725e-01,4.711960e-01,1.707910e-03
1.269531e-02,3.035904e-01,1.968028e-01,-2.328746e-03
1.272583e-02,-5.155071e-01,-3.681342e-01,1.223905e-03
