raw_vector,digits,bit_length,octal,octal_digits,family,source_date,source_time_local,source_label_or_note,evidence_class,role,same_location_pair,current_status,model_output_or_candidate,geographic_authority,notes,old_f5,old_q22,old_low3
165878923,9,28,1170616213,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Cotswolds near Bourton-on-the-Water, England (51.915134, -1.886069)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,2,0,3,2,1,0,1",3
165878965,9,28,1170616265,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Northleach area, Gloucestershire, England (51.794497, -1.812112)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,2,0,3,2,1,1,2",5
165879123,9,28,1170616523,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"Chipping Norton area, Oxfordshire, England (51.901771, -1.566594)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,2,0,3,2,2,2,2",3
165879243,9,28,1170616713,10,transport-form candidate,,,Montréal,SOURCE_REPORTED_LABEL,DECLARED_CALIBRATION_LABEL,,CURRENT_DIRECT_COMPACT_RECORD; GEOMETRIC_INTEGRATION_UNRESOLVED,Direct compact arithmetic is current; V2 exact-anchor map folded and was rejected,TRAINING_LABEL_NOT_HOLDOUT,corrected at 19:17; canonical candidate 168500683,4,"3,3,0,1,2,0,3,2,3,2,1",3
165879253,9,28,1170616725,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_CLASSIFICATION_WITH_SOFTWARE_DERIVED_LOCATION,SOURCE_REPORTED_ADDITIONAL_LANDING_SITE_SET,,V1_MODEL_DERIVED; NOT_INDEPENDENT_VALIDATION,"eastern Cotswolds near Moreton-in-Marsh, England (52.058864, -1.762491)",RELATIVE_TO_STONEHENGE_CALIBRATED_V1,"The L's later called the set additional landing sites and a common Earth-traversal route. The named places are V1 software outputs, not source-supplied labels.",4,"3,3,0,1,2,0,3,2,3,2,2",5
165892323,9,28,1170650343,10,COMPACT_10_OCTAL_UNRESOLVED_CODEC,2026-07-27,06:07 approximately,"recorded immediately upon waking, no description",SEALED_OPERATOR_INTAKE,SEALED_UNLABELLED_HOLDOUT,,SEALED_HOLDOUT; DO_NOT_FIT,R10.9 pre-reveal V1/V2 receipt exists,NO LABEL KNOWN,Preserve original hashes and prohibit post-reveal retuning.,4,"3,3,0,1,2,2,2,0,1,3,0",3
165892733,9,28,1170651175,10,COMPACT_PARENT_CANDIDATE,2026-07-27,20:36,St. John's one less refinement,LS_DIRECT_UNVERIFIED,NEW_EXACT_SAME_LOCATION_TRAINING_PAIR,compact parent of 1658274383,CRITICAL_NEW_CODEC_CONSTRAINT,"Under the obsolete F5|Q22|S3 segmentation it falls in the same deep branch as the orange triplet, showing that the old segment boundaries/projection cannot be retained unchanged.",SOURCE_REPORTED_SAME_LOCATION_RELATION,Octal 1170651175. Shares the first eight old quaternary symbols with the orange triplet. Do not interpret the old contiguous low bits as shell.,4,"3,3,0,1,2,2,2,1,0,3,3",5
165892743,9,28,1170651207,10,RGCS-30,,,orange-slice member 1,SOURCE_REPORTED_GEOMETRIC_CONSTRAINT,ORANGE_SLICE_CONSTRAINT,,TRAINING_GEOMETRY; ABSOLUTE LOCATION MODEL_DEPENDENT,"English Channel, north of Guernsey",NONE,geometric constraint,4,"3,3,0,1,2,2,2,1,1,0,0",7
165892763,9,28,1170651233,10,RGCS-30,,,orange-slice member 2,SOURCE_REPORTED_GEOMETRIC_CONSTRAINT,ORANGE_SLICE_CONSTRAINT,,TRAINING_GEOMETRY; ABSOLUTE LOCATION MODEL_DEPENDENT,"English Channel, north of Guernsey",NONE,geometric constraint,4,"3,3,0,1,2,2,2,1,1,0,3",3
165892783,9,28,1170651257,10,RGCS-30,,,orange-slice member 3,SOURCE_REPORTED_GEOMETRIC_CONSTRAINT,ORANGE_SLICE_CONSTRAINT,,TRAINING_GEOMETRY; ABSOLUTE LOCATION MODEL_DEPENDENT,"English Channel, northwest of Guernsey",NONE,geometric constraint,4,"3,3,0,1,2,2,2,1,1,1,1",7
167829573,9,28,1200160105,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_VECTOR,LEGACY_CORPUS,,CANDIDATE_FORWARD_PROJECTION,"McKean County, Pennsylvania, between Port Allegany and Bradford",NONE,R10.8.4 known-vector suite,5,"0,0,0,0,1,3,0,0,0,2,0",5
167849523,9,28,1200227063,10,RGCS-30,,,Erie,SOURCE_REPORTED_LABEL,DECLARED_CALIBRATION_LABEL,,CALIBRATION_ANCHOR,"Erie, Pennsylvania, USA",TRAINING_LABEL_NOT_HOLDOUT,municipality anchor,5,"0,0,0,0,2,1,1,3,0,1,2",3
167854923,9,28,1200241513,10,COMPACT_10_OCTAL_UNRESOLVED_CODEC,2026-07-27,10:44,Unlabelled blind vector; operator withheld identity,SEALED_OPERATOR_INTAKE,BLIND_HOLDOUT,,FROZEN_V1_PREDICTION; LABEL_UNREVEALED; DO_NOT_FIT,"V1 candidate approximately 41.730 N, -80.834 W, Ohio-consistent",NO SOURCE LABEL REVEALED,Prediction is model-dependent and remains unscored.,5,"0,0,0,0,2,2,0,1,2,2,1",3
168724343,9,28,1203503567,10,COMPACT_10_OCTAL_UNRESOLVED_CODEC,2026-07-27,14:05 approximately,"received without description, together with 1687209343",SEALED_OPERATOR_INTAKE,SEALED_UNLABELLED_HOLDOUT,,SEALED_HOLDOUT; DO_NOT_FIT,R10.9 pre-reveal V1/V2 receipt exists,NO LABEL KNOWN,Preserve original hashes and prohibit post-reveal retuning.,5,"0,0,1,3,1,0,0,3,2,3,2",7
168729543,9,28,1203515707,10,RGCS-30,,,Montréal (superseded),OPERATOR_CORRECTION_RECORD,SUPERSEDED_TRANSCRIPTION,,SUPERSEDED; PRESERVE_ONLY,Rigaud-Hawkesbury region (superseded Montréal transcription),NONE,replaced by 165879243,5,"0,0,1,3,1,0,3,1,3,2,0",7
168930443,9,28,1204326213,10,RGCS-30,,,Toronto,SOURCE_REPORTED_LABEL,DECLARED_CALIBRATION_LABEL,compact parent of 1672875493,CALIBRATION_ANCHOR,"Toronto, Ontario, Canada",TRAINING_LABEL_NOT_HOLDOUT,confirmed correct at 19:17,5,"0,0,2,0,3,1,1,2,1,0,1",3
683742917,9,30,5060213305,10,RGCS-30,,,unlabelled,SOURCE_REPORTED_VECTOR,LEGACY_CORPUS,,PROVISIONAL_CORPUS; NO_EARTH_BRIDGE,,NONE,provisional nine-digit vector,20,"1,2,0,0,2,0,2,3,1,2,0",5
1643789253,10,31,14176435705,11,variable-length,,,Stonehenge variable-length,SOURCE_REPORTED_VECTOR,LEGACY_CORPUS,refined form of 165876523,VARIABLE_CODEC_UNRESOLVED; OLD_AFFINE_BRIDGE_SUPERSEDED,"Stonehenge, Wiltshire, England",NONE,header 16 bridge,,,
1658274383,10,31,14265641117,11,VARIABLE_DEPTH_11_OCTAL,2026-07-26,20:34 approximately,"CYYT St. John's, Newfoundland and Labrador",SOURCE_REPORTED_LABEL,LABELLED_CALIBRATION_OR_CORRUPTED_RECORD,refined form of 165892733,NEW EXACT SAME_LOCATION_PAIR; VARIABLE_CODEC_UNRESOLVED,Known CYYT label; inverse V1 targets exist but are not forward decodes,SOURCE_LABEL; NOT A BLIND PREDICTION,Old affine bridge failed prospectively and remains disabled.,,,
1658792343,10,31,14267624627,11,VARIABLE_DEPTH_11_OCTAL,2026-07-26,20:34 approximately,Gander NATO listening station/base behind CYQX / Argentia Naval Base - USA,SOURCE_REPORTED_LABEL,LABELLED_CALIBRATION_OR_CORRUPTED_RECORD,,CORRUPTED_COLLISION; EXCLUDED_FROM_FIT,Same raw value was assigned to Gander and Argentia; reacquire independently,SOURCE_LABEL; NOT A BLIND PREDICTION,Old affine bridge failed prospectively and remains disabled.,,,
1672875493,10,31,14355406745,11,variable-length,,,Toronto variable-length,SOURCE_REPORTED_VECTOR,LEGACY_CORPUS,refined form of 168930443,VARIABLE_CODEC_UNRESOLVED; OLD_AFFINE_BRIDGE_SUPERSEDED,"Toronto, Ontario, Canada",NONE,header 16 bridge,,,
1678295343,10,31,14402140457,11,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,R10.8.4 known-vector suite,,,
1678523973,10,31,14403037105,11,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,R10.8.4 known-vector suite,,,
1687209343,10,31,14444142577,11,VARIABLE_DEPTH_11_OCTAL,2026-07-27,14:05 approximately,"received without description, together with 168724343",SEALED_OPERATOR_INTAKE,SEALED_UNLABELLED_HOLDOUT,,SEALED_HOLDOUT; DO_NOT_FIT,BLOCKED UNTIL VARIABLE CODEC RECOVERY,NO LABEL KNOWN,Preserve original hashes and prohibit post-reveal retuning.,,,
2736598321,10,32,24307226461,11,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,"explicitly coordinate, not MHz",,,
4270532947,10,32,37642624523,11,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,,,,
16752349783,11,34,174641111127,12,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,R10.8.4 known-vector suite,,,
16782953437,11,34,175025705735,12,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,R10.8.4 known-vector suite,,,
162875432975,12,38,2275410360017,13,star-family,,,unlabelled,SOURCE_REPORTED_VECTOR,SEPARATE_STAR_FAMILY,,NO_EARTH_BRIDGE,,NONE,40-bit H4|P36 candidate,,,
162875439275,12,38,2275410374253,13,star-family,,,unlabelled,SOURCE_REPORTED_VECTOR,SEPARATE_STAR_FAMILY,,NO_EARTH_BRIDGE,,NONE,40-bit H4|P36 candidate,,,
162875439285,12,38,2275410374265,13,star-family,,,unlabelled,SOURCE_REPORTED_VECTOR,SEPARATE_STAR_FAMILY,,NO_EARTH_BRIDGE,,NONE,40-bit H4|P36 candidate,,,
162875493612,12,38,2275410546354,13,star-family,,,unlabelled,SOURCE_REPORTED_VECTOR,SEPARATE_STAR_FAMILY,,NO_EARTH_BRIDGE,,NONE,40-bit H4|P36 candidate,,,
162877542769,12,38,2275420410561,13,star-family,,,unlabelled,SOURCE_REPORTED_VECTOR,SEPARATE_STAR_FAMILY,,NO_EARTH_BRIDGE,,NONE,40-bit H4|P36 candidate,,,
276354297635,12,39,4012777767443,13,variable-length,,,unlabelled,SOURCE_REPORTED_VECTOR,VARIABLE_DEPTH_CORPUS,,NO_VALIDATED_EARTH_BRIDGE,,NONE,,,,
